additive_id,product_id,additive_code,additive_name,risk_level,additive_safety_score
1,IN_8901719134845,E330,Citric Acid,Low,100
2,IN_8901719134845,E472,E472,Low / Unclassified,100
3,IN_8901719134845,E500,E500,Low / Unclassified,100
4,IN_8901719134845,E500,E500,Low / Unclassified,100
5,IN_8901719134845,E503,E503,Low / Unclassified,100
6,IN_8901063139329,E110,Sunset Yellow,High,25
7,IN_8901063139329,E122,Azorubine,High,25
8,IN_8901063139329,E322,Lecithin,Low,100
9,IN_8901063139329,E503,E503,Low / Unclassified,100
10,IN_8906010500764,E160,E160,Low / Unclassified,100
11,IN_8906010500764,E330,Citric Acid,Low,100
12,IN_8906010500764,E551,E551,Low / Unclassified,100
13,IN_8906010500764,E627,E627,Low / Unclassified,100
14,IN_8906010500764,E631,E631,Low / Unclassified,100
15,IN_8901063093522,E322,Lecithin,Low,100
16,IN_8901063093522,E471,E471,Low / Unclassified,100
17,IN_8901063162914,E150,E150,Low / Unclassified,100
18,IN_8901063162914,E472,E472,Low / Unclassified,100
19,IN_8901063162914,E500,E500,Low / Unclassified,100
20,IN_8901063162914,E503,E503,Low / Unclassified,100
21,IN_8901063092853,E322,Lecithin,Low,100
22,IN_8901063092853,E471,E471,Low / Unclassified,100
23,IN_8901063092853,E472,E472,Low / Unclassified,100
24,IN_8901063092853,E500,E500,Low / Unclassified,100
25,IN_8901063092853,E503,E503,Low / Unclassified,100
26,IN_8901719129988,E150,E150,Low / Unclassified,100
27,IN_8901719129988,E150,E150,Low / Unclassified,100
28,IN_8901719129988,E322,Lecithin,Low,100
29,IN_8901719129988,E322,Lecithin,Low,100
30,IN_8901719129988,E500,E500,Low / Unclassified,100
31,IN_8901719129988,E503,E503,Low / Unclassified,100
32,IN_8901063029255,E122,Azorubine,High,25
33,IN_8901063029255,E322,Lecithin,Low,100
34,IN_8901063029255,E331,E331,Low / Unclassified,100
35,IN_8901063029255,E440,E440,Low / Unclassified,100
36,IN_8901063029255,E471,E471,Low / Unclassified,100
37,IN_8901063029255,E500,E500,Low / Unclassified,100
38,IN_8901063029255,E503,E503,Low / Unclassified,100
39,IN_8901719135248,E1100,E1100,Low / Unclassified,100
40,IN_8901719135248,E1101,E1101,Low / Unclassified,100
41,IN_8901719135248,E223,E223,Low / Unclassified,100
42,IN_8901719135248,E270,E270,Low / Unclassified,100
43,IN_8901719135248,E296,E296,Low / Unclassified,100
44,IN_8901719135248,E341,E341,Low / Unclassified,100
45,IN_8901719135248,E503,E503,Low / Unclassified,100
46,IN_8996001312506,E102,Tartrazine,High,25
47,IN_8996001312506,E110,Sunset Yellow,High,25
48,IN_8996001312506,E322,Lecithin,Low,100
49,IN_8996001312506,E322,Lecithin,Low,100
50,IN_8996001312506,E500,E500,Low / Unclassified,100
51,IN_8996001312506,E500,E500,Low / Unclassified,100
52,IN_8996001312506,E503,E503,Low / Unclassified,100
53,IN_8996001312506,E503,E503,Low / Unclassified,100
54,IN_8901058005233,E322,Lecithin,Low,100
55,IN_8901058005233,E322,Lecithin,Low,100
56,IN_8901058005233,E516,E516,Low / Unclassified,100
57,IN_8901063023901,E150,E150,Low / Unclassified,100
58,IN_8901063023901,E223,E223,Low / Unclassified,100
59,IN_8901063023901,E472,E472,Low / Unclassified,100
60,IN_8901063023901,E500,E500,Low / Unclassified,100
61,IN_8901063023901,E503,E503,Low / Unclassified,100
62,IN_8906032018513,E223,E223,Low / Unclassified,100
63,IN_8906032018513,E319,E319,Low / Unclassified,100
64,IN_8906032018513,E322,Lecithin,Low,100
65,IN_8906032018513,E341,E341,Low / Unclassified,100
66,IN_8906032018513,E500,E500,Low / Unclassified,100
67,IN_8906032018513,E500,E500,Low / Unclassified,100
68,IN_8906032018513,E503,E503,Low / Unclassified,100
69,IN_8906032018513,E503,E503,Low / Unclassified,100
70,IN_8901719135217,E1100,E1100,Low / Unclassified,100
71,IN_8901719135217,E1101,E1101,Low / Unclassified,100
72,IN_8901719135217,E223,E223,Low / Unclassified,100
73,IN_8901719135217,E270,E270,Low / Unclassified,100
74,IN_8901719135217,E296,E296,Low / Unclassified,100
75,IN_8901719135217,E341,E341,Low / Unclassified,100
76,IN_8901719135217,E500,E500,Low / Unclassified,100
77,IN_8901719135217,E503,E503,Low / Unclassified,100
78,IN_8901063093287,E322,Lecithin,Low,100
79,IN_8901063093287,E471,E471,Low / Unclassified,100
80,IN_8901063093287,E472,E472,Low / Unclassified,100
81,IN_8901063093287,E500,E500,Low / Unclassified,100
82,IN_8901063093287,E503,E503,Low / Unclassified,100
83,IN_8901063014411,E223,E223,Low / Unclassified,100
84,IN_8901063014411,E322,Lecithin,Low,100
85,IN_8901063014411,E500,E500,Low / Unclassified,100
86,IN_8901063014411,E503,E503,Low / Unclassified,100
87,IN_8901725015275,E150,E150,Low / Unclassified,100
88,IN_8901725015275,E150,E150,Low / Unclassified,100
89,IN_8901725015275,E322,Lecithin,Low,100
