comparison_id,india_product_id,india_product_name,foreign_product_id,foreign_product_name,embedding_similarity_score
1,IN_8901719134845,Parle-G Biscuit,UK_8410376049602,Digestive biscuits,0.6915
2,IN_8901719134852,Parle G biscuit,UK_8410376049602,Digestive biscuits,0.7025
3,IN_8901063139329,bourbon,UK_5054402919854,BOURBON CREAMS,0.6677
4,IN_8906010500764,balaji wafers chataka pataka,UK_4088600226736,Savoury Crackers Lightly Salted,0.679
5,IN_8901063093522,Good Day - Cashew Cookies,UK_00130509,Wheat Biscuits,0.6626
6,IN_8901063162914,Marie Gold Biscuit,UK_5000168001210,McVities Rich Tea Biscuits,0.6755
7,IN_8906010500245,Balaji Wafers Masala Sev Murmura,UK_7613034989253,Lion,0.488
8,IN_7622202225512,Original Oreo,UK_7622202219214,Brunch Choc Chip,0.6958
9,IN_8901063092853,Good Day cashew cookie,UK_00130509,Wheat Biscuits,0.6449
10,IN_8901719129988,Happy happy - Parl,UK_2000000028573,Happy Hippo Cacao,0.6179
11,IN_8901063029255,Jimjam 57g (57),UK_5000168001210,McVities Rich Tea Biscuits,0.68
12,IN_8901719135248,Krackjack,UK_5000168001210,McVities Rich Tea Biscuits,0.6194
13,IN_8996001312506,Malkist Cheese Flavoured Crunchy Layered Cracker Biscuits,UK_5059697770203,Salt & pepper crackers,0.7129
14,IN_8901058005233,Kitkat mini chocolate coated wafer,UK_7613287430984,Vegan KitKat,0.8303
15,IN_8901063023901,Marie Gold,UK_7622202219214,Brunch Choc Chip,0.6689
16,IN_8901719135118,MONACO,UK_5000119014436,Water Biscuits,0.6027
17,IN_8901063162532,Marie gold,UK_5000168001210,McVities Rich Tea Biscuits,0.6087
18,IN_8906032018513,Doodh Biscuits,UK_8410376049602,Digestive biscuits,0.6639
19,IN_8901719121630,20-20,UK_8410376049602,Digestive biscuits,0.646
20,IN_8901719105913,parle hide & seek 120g,UK_5000119002402,Tesco Malted Milk Biscuits 200G,0.5794
21,IN_8901719130014,Happy happy biscuit - Parle - Parle,UK_2000000028573,Happy Hippo Cacao,0.5959
22,IN_7622202225550,Oreo choco,UK_7622202219214,Brunch Choc Chip,0.6829
23,IN_8901719117183,Hide & Seek,UK_8410376049602,Digestive biscuits,0.6
24,IN_8901719135217,Krackjack,UK_5000168001210,McVities Rich Tea Biscuits,0.6194
25,IN_8901063093287,Good Day Cashew Cookies,UK_00130509,Wheat Biscuits,0.6328
26,IN_8901063014411,Vita Marie Gold,UK_5000168001210,McVities Rich Tea Biscuits,0.5852
27,IN_8901725015275,Dark Fantasy,UK_4017100287343,CHOCO LEIBNIZ Dark,0.5436
28,IN_8906010500870,BALAJI CREAM ONION,UK_7613038874906,Sweet potato curry seasoning,0.4869
29,IN_8901123001214,Lotte Choco Pie,UK_01705461,Rough oatcakes,0.5794
30,IN_8901063019188,Little Hearts,UK_7622202219214,Brunch Choc Chip,0.5859
31,IN_8901719135729,Biscuit,UK_8410376049602,Digestive biscuits,0.7915
32,IN_8901063139213,Brit bourbon 150g (sys),UK_7622202219214,Brunch Choc Chip,0.6817
33,IN_8901063014299,Britannia Vita Marie Gold Biscuits,UK_00130509,Wheat Biscuits,0.6832
34,IN_8901063019201,8901063019201,UK_00130509,Wheat Biscuits,0.5824
35,IN_8901063029279,Jimjam,UK_5000168001210,McVities Rich Tea Biscuits,0.6702
36,IN_8901063016873,50-50,UK_5000168001210,McVities Rich Tea Biscuits,0.6535
37,IN_8901063142664,britannia,UK_5000168001210,McVities Rich Tea Biscuits,0.6012
38,IN_8901491100533,Chilli Chatka 20rs,UK_8445291254107,Cookie Crisp,0.6897
39,IN_8906010500030,Malasa Masti,UK_50823093,MILK CHOCOLATE CARAMEL WAFER BISCUIT,0.533
40,IN_8901725016296,Dark Fantasy Bourbon Biscuit,UK_4017100287343,CHOCO LEIBNIZ Dark,0.6786
41,IN_8901719130144,Parle Hide & Seek Cookies,UK_7622202219214,Brunch Choc Chip,0.6931
42,IN_8901063012868,Milk bikis biscuits,UK_7622202019265,BREAKFAST Honey & Nut with choc chips,0.6642
43,IN_8901063162464,BRITANNIA marie GOLD,UK_5000168001210,McVities Rich Tea Biscuits,0.5602
44,IN_8901719100369,Parle Bis Hide &seek,UK_5059697744303,Digestive,0.5846
45,IN_8906010503550,Wafers,UK_50823093,MILK CHOCOLATE CARAMEL WAFER BISCUIT,0.5807
46,IN_8901058005080,Munch Max,UK_7613039869123,Aero Peppermint Chocolate Bar,0.8171
47,IN_19017198,Parle tostea 1kg,UK_5063334010621,Digestives,0.5695
48,IN_8909081005046,Dark Fantasy Choco Fills,UK_4017100287343,CHOCO LEIBNIZ Dark,0.6997
49,IN_8901725000622,sunfeast Mom,UK_5059320000424,Pop tarts hot fudge sundae 4 x 2 Stück,0.5961
50,IN_8901063092822,BRITANNIA Good day  BUTTER COOKIES,UK_5056357999639,Protein Cookie,0.5556
51,IN_8901058022179,Munch,UK_7613034989253,Lion,0.7321
52,IN_8901063367173,5050 Maska Chaska,UK_5056357999639,Protein Cookie,0.6149
53,IN_8901063142015,Nutri Choice,UK_5063334010621,Digestives,0.7162
54,IN_8901725012953,sunfeast Marie light 10 MRP,UK_5000168001210,McVities Rich Tea Biscuits,0.6553
55,IN_8901063017627,Brit 50-50 maska chaska 40g (20),UK_5000168001210,McVities Rich Tea Biscuits,0.6202
56,IN_8906009803777,Waffy - choco flavoured wafer roll,UK_50823093,MILK CHOCOLATE CARAMEL WAFER BISCUIT,0.7581
57,IN_8906010500269,Poprings Masala flavour,UK_5000243678702,Authentic Indian Masala Chilli Sauce,0.5284
58,IN_8901719125348,8901719125348,UK_4061463564061,Unknown Product,0.5884
59,IN_8906009070834,Unibic cashew badam cookies 500g,UK_8445291254107,Cookie Crisp,0.6092
60,IN_8901063093089,Good day Cashew,UK_00130509,Wheat Biscuits,0.6406
61,IN_8909081001123,Bounce Chocho,UK_4017100207136,CHOCO LEIBNIZ milk,0.7399
62,IN_8901719129179,PARLE COCONUT,UK_0612322001063,Coconut & Chia Oat Biscuits imp,0.6131
63,IN_8901719126468,parle 20-20,UK_8410376049602,Digestive biscuits,0.6033
64,IN_8906032018810,Patanjali Doodh biscuits,UK_8410376049602,Digestive biscuits,0.6856
65,IN_8901725015886,Dark Fantasy Choco Fills,UK_4017100287343,CHOCO LEIBNIZ Dark,0.6997
66,IN_8901058904741,Nestle kit Kat (Ind),UK_8445291524545,Kit Kat,0.8589
67,IN_8901063142244,Nutri choice zero,UK_00130509,Wheat Biscuits,0.659
68,IN_8901719135156,PARLE MONACO,UK_4017100287343,CHOCO LEIBNIZ Dark,0.5015
69,IN_8901719127106,NG,UK_00130509,Wheat Biscuits,0.6774
70,IN_8901063162648,Britannia Marie Gold,UK_5000168001210,McVities Rich Tea Biscuits,0.5602
71,IN_8906009079165,Unibic Choco Chip Cookies,UK_7622202219214,Brunch Choc Chip,0.5992
72,IN_8901725015015,8901725015015,UK_00130509,Wheat Biscuits,0.5373
73,IN_8901719135767,Parle-G ROYALE,UK_5000168036670,Digestives The Original Twin Pack,0.561
74,IN_8909081005053,8909081005053,UK_4017100207136,CHOCO LEIBNIZ milk,0.6087
75,IN_8901063139336,Britannia bourbon 100g,UK_00130509,Wheat Biscuits,0.5848
76,IN_8901063142466,Nutri Choice Digestive,UK_5063334010621,Digestives,0.7205
77,IN_8908008674808,Wafer,UK_50823093,MILK CHOCOLATE CARAMEL WAFER BISCUIT,0.7505
