nutrition_id,product_id,basis,energy_kcal,protein_g,fat_g,saturated_fat_g,sugars_g,fiber_g,sodium_mg,uk_npm_nutrition_score
1,IN_8901719134845,per_100g,454.0,6.9,13.0,6.0,25.5,,296.0,40.0
2,IN_8901719134852,per_100g,3.4,6.9,13.0,6.0,25.5,0.0,0.0,52.73
3,IN_8901063139329,per_100g,492.0,4.7,19.9,7.7,37.0,,118000.0,16.36
4,IN_8906010500764,per_100g,514.0,7.0,25.0,12.0,2.0,4.0,868.0,34.55
5,IN_8901063093522,per_100g,512.0,7.0,24.0,11.0,22.0,0.0,0.0,36.36
6,IN_8901063162914,per_100g,445.0,7.9,10.6,5.1,21.2,0.0,316.0,41.82
7,IN_8906010500245,per_100g,482.0,10.9,23.2,10.5,9.4,7.0,811.0,32.73
8,IN_7622202225512,per_100g,483.0,5.2,19.6,9.7,38.9,,420.0,23.64
9,IN_8901063092853,per_100g,504.0,7.0,24.0,11.0,22.0,,218.0,32.73
10,IN_8901719129988,per_100g,469.0,6.1,15.9,8.6,31.0,0.0,205.0,34.55
11,IN_8901063029255,per_100g,483.0,5.0,19.0,9.5,32.9,0.0,211000.0,14.55
12,IN_8901719135248,per_100g,489.0,6.8,19.9,9.4,19.6,,371.0,30.91
13,IN_8996001312506,per_100g,491.0,7.7,22.8,15.3,16.5,,543.0,27.27
14,IN_8901058005233,per_100g,438.0,6.4,24.8,24.5,35.1,0.0,97.4,30.91
15,IN_8901063023901,per_100g,445.0,8.4,10.7,5.2,21.9,,319.0,41.82
16,IN_8901719135118,per_100g,492.0,7.9,20.9,9.7,8.4,0.0,0.0,52.73
17,IN_8901063162532,per_100g,445.0,7.9,10.6,5.1,21.2,0.0,0.0,47.27
18,IN_8906032018513,per_100g,468.0,7.2,17.0,8.3,24.0,6.0,349.0,43.64
19,IN_8901719121630,per_100g,482.0,6.7,18.6,8.5,24.1,,240.0,34.55
20,IN_8901719105913,per_100g,479.0,5.9,18.0,9.4,32.2,0.0,0.0,34.55
21,IN_8901719130014,per_100g,489.0,5.5,20.1,10.6,31.0,0.0,0.0,43.64
22,IN_7622202225550,per_100g,,,,,,,0.0,70.91
23,IN_8901719117183,per_100g,470.0,5.9,18.6,9.4,32.5,,114.0,32.73
24,IN_8901719135217,per_100g,489.0,,19.9,9.4,19.6,,371.0,30.91
25,IN_8901063093287,per_100g,504.0,7.0,24.0,11.0,22.0,0.0,0.0,36.36
26,IN_8901063014411,per_100g,,,,,,,0.0,72.73
27,IN_8901725015275,per_100g,507.0,7.3,27.3,12.7,35.7,,181.5,27.27
28,IN_8906010500870,per_100g,,,,,,,0.0,72.73
29,IN_8901123001214,per_100g,433.0,4.0,17.0,13.0,37.0,,185.0,27.27
30,IN_8901063019188,per_100g,486.0,7.4,19.5,9.4,24.0,,0.0,36.36
31,IN_8901719135729,per_100g,,,,,,,0.0,70.91
32,IN_8901063139213,per_100g,493.5,5.0,20.3,10.1,37.0,,119.0,27.27
33,IN_8901063014299,per_100g,449.0,7.3,11.4,5.5,25.5,,255.0,41.82
34,IN_8901063019201,per_100g,486.0,7.4,19.5,9.4,24.0,,309.0,30.91
35,IN_8901063029279,per_100g,483.0,5.0,19.0,9.5,33.5,,214.0,29.09
36,IN_8901063016873,per_100g,,,,,,,0.0,72.73
37,IN_8901063142664,per_100g,483.0,9.3,20.8,10.3,12.7,6.7,362.0,41.82
38,IN_8901491100533,per_100g,562.0,5.6,35.1,15.8,2.0,,723.0,29.09
39,IN_8906010500030,per_100g,539.0,7.4,29.5,14.0,5.2,8.5,760.0,36.36
40,IN_8901725016296,per_100g,469.0,5.9,17.9,8.9,38.4,,55.0,34.55
41,IN_8901719130144,per_100g,474.0,5.8,17.0,11.4,32.6,,120.0,30.91
42,IN_8901063012868,per_100g,467.0,8.5,16.9,8.4,23.1,5.4,332000.0,30.91
43,IN_8901063162464,per_100g,,,,,,,0.0,50.0
44,IN_8901719100369,per_100g,161.3,3.0,3.3,2.5,29.6,,182.0,50.91
45,IN_8906010503550,per_100g,553.0,7.6,32.8,15.6,4.6,,524.0,32.73
46,IN_8901058005080,per_100g,430.0,5.6,23.2,22.6,34.3,,79.39999999999999,32.73
47,IN_19017198,per_100g,,9.2,,,0.0,0.0,40.0,81.82
48,IN_8909081005046,per_100g,504.347826086957,6.95652173913043,26.9565217391304,13.0434782608696,35.6521739130435,,181.739130434783,27.27
49,IN_8901725000622,per_100g,485.0,6.9,20.7,,22.2,,0.0,61.82
50,IN_8901063092822,per_100g,500.0,6.8,21.8,10.9,20.4,,223.0,32.73
51,IN_8901058022179,per_100g,435.0,6.0,23.4,23.1,32.9,,89.30000000000001,32.73
52,IN_8901063367173,per_100g,525.0,7.7,26.5,,9.8,,1065.0,40.0
53,IN_8901063142015,per_100g,481.0,9.1,20.9,10.4,13.1,7.3,0.0,49.09
54,IN_8901725012953,per_100g,,,,,,,0.0,72.73
55,IN_8901063017627,per_100g,,,,,,,0.0,72.73
56,IN_8906009803777,per_100g,470.8,5.4,16.5,7.0,47.1,,116.1,32.73
57,IN_8906010500269,per_100g,,5.8,25.0,,4.0,,1023.112,60.0
58,IN_8901719125348,per_100g,506.0,7.3,23.4,,10.5,,642.0,45.45
59,IN_8906009070834,per_100g,476.8,5.5,21.1,9.5,24.6,0.0,195.0,34.55
60,IN_8901063093089,per_100g,509.0,6.7,23.7,11.6,20.3,0.0,0.0,36.36
61,IN_8909081001123,per_100g,,,,,32.9,,70.0,60.0
62,IN_8901719129179,per_100g,469.0,6.5,16.1,8.3,26.2,,247000.0,30.91
63,IN_8901719126468,per_100g,490.0,6.4,20.2,9.3,24.4,0.0,0.0,36.36
64,IN_8906032018810,per_100g,468.0,7.2,17.0,8.3,24.0,6.0,349.0,41.82
65,IN_8901725015886,per_100g,507.0,7.3,27.3,12.7,35.7,,181.5,27.27
66,IN_8901058904741,per_100g,448.0,6.5,25.8,23.0,37.8,0.0,0.0,40.0
67,IN_8901063142244,per_100g,,,,,,,0.0,50.0
68,IN_8901719135156,per_100g,,,,,,,0.0,72.73
69,IN_8901719127106,per_100g,490.7,6.5,19.9,9.2,,1.2,251000.0,38.18
70,IN_8901063162648,per_100g,445.0,7.9,10.6,5.1,21.2,,316.0,41.82
71,IN_8906009079165,per_100g,471.0,5.8,19.5,12.2,29.0,,213.0,30.91
72,IN_8901725015015,per_100g,425.0,5.4,16.4,10.7,33.1,,146.8,30.91
73,IN_8901719135767,per_100g,469.0,6.4,16.5,7.6,27.3,0.0,268.0,36.36
74,IN_8909081005053,per_100g,507.0,7.3,27.3,12.7,35.7,,181.5,27.27
75,IN_8901063139336,per_100g,493.5,5.0,20.3,10.1,38.3,,47.6,29.09
76,IN_8901063142466,per_100g,497.0,8.6,21.0,10.2,14.4,6.0,0.0,47.27
77,IN_8908008674808,per_100g,473.0,7.0,17.0,10.0,34.0,,190.0,30.91
78,IN_8901063004139,per_100g,512.0,6.1,24.0,14.1,33.4,,204.0,27.27
79,IN_8901063028234,per_100g,463.0,6.0,15.0,8.0,28.8,,275.0,34.55
80,IN_8901719134937,per_100g,457.0,6.4,13.4,6.3,33.8,,0.0,40.0
81,IN_8901725016234,per_100g,,,,,,,0.0,72.73
82,IN_8906010500214,per_100g,507.0,10.9,23.4,11.0,0.0,5.0,808.0,38.18
83,IN_8901499008169,per_100g,373.0,9.0,3.0,1.2,27.5,7.0,250.0,56.36
84,IN_8901491103794,per_100g,407.0,11.8,9.5,1.9,1.8,10.0,9.5,80.0
85,IN_8901499010513,per_100g,955.0,8.1,5.1,0.9,21.8,6.4,140.0,74.55
86,IN_8901088068734,per_100g,365.789473684211,8.68421052631579,7.63157894736842,1.84210526315789,6.05263157894737,9.73684210526316,2088.94736842105,52.73
87,IN_8904335604150,per_100g,367.5,9.25,6.25,1.0,12.25,9.5,281.75,74.55
88,IN_8908005144632,per_100g,437.0,12.3,13.3,4.9,6.7,9.4,90.6,61.82
89,IN_8901491103800,per_100g,407.0,11.8,9.5,1.9,1.8,10.0,9.5,80.0
90,IN_8906136651968,per_100g,392.0,25.0,8.0,2.1,14.0,9.6,130.0,72.73
91,IN_8901499023339,per_100g,382.0,8.1,5.2,0.9,21.6,6.5,130.0,72.73
92,IN_8901491702188,per_100g,407.5,11.75,9.5,2.0,1.75,10.0,9.5,80.0
93,IN_8901088213608,per_100g,369.0,12.6,8.0,1.6,0.5,10.4,5.0,81.82
94,IN_8906113490887,per_100g,400.0,9.3,6.4,1.0,19.7,10.8,154.70000000000002,72.73
95,IN_8908005144618,per_100g,370.0,15.0,10.5,1.75,0.0,15.1,53.25,80.0
96,IN_8901499010483,per_100g,397.5,8.0,6.0,0.75,16.0,5.0,60.0,74.55
97,IN_8906127550850,per_100g,457.77,22.0,18.6,3.1,5.0,11.6,13.24,72.73
98,IN_8904335601869,per_100g,386.0,23.0,10.7,3.0,20.2,7.5,89.6,61.82
99,IN_8901499010742,per_100g,390.0,4.0,3.1,1.1,31.0,30.0,180.0,58.18
100,IN_8904335601951,per_100g,387.5,12.5,8.25,1.75,1.75,10.0,9.5,80.0
101,IN_8908005144649,per_100g,418.0,13.0,9.5,1.9,4.8,7.4,61.199999999999996,78.18
102,IN_8901499008800,per_100g,,,,,,,0.0,50.0
103,IN_8902710500752,per_100g,380.0,8.9,4.4,0.8,19.4,7.3,266.0,72.73
