product_id,barcode,brand,product_name,category,country,overall_health_score,nutrition_score,additive_score,ingredient_score,source_url
IN_8901719134845,8901719134845,Parle,Parle-G Biscuit,Dry biscuits,India,62.99,40.0,100.0,64.97,https://world.openfoodfacts.org/product/8901719134845/parle-g-biscuit
IN_8901719134852,8901719134852,Parle,Parle G biscuit,Biscuits,India,59.41,52.73,,75.0,https://world.openfoodfacts.org/product/8901719134852/parle-g-biscuit
IN_8901063139329,8901063139329,britannia,bourbon,Biscuits,India,41.41,16.36,62.5,72.41,https://world.openfoodfacts.org/product/8901063139329/bourbon-britannia
IN_8906010500764,8906010500764,Balaji,balaji wafers chataka pataka,"Biscuits, Crisps, Crackers (Appetizers), namkeen",India,62.76,34.55,100.0,77.44,https://world.openfoodfacts.org/product/8906010500764/balaji-wafers-chataka-pataka
IN_8901063093522,8901063093522,Britannia,Good Day - Cashew Cookies,"Biscuits or cookies variety packs, Biscuit mixes, Biscuits/Cookies (Shelf Stable)",India,62.08,36.36,100.0,69.51,https://world.openfoodfacts.org/product/8901063093522/good-day-cashew-cookies-britannia
IN_8901063162914,8901063162914,Britannia,Marie Gold Biscuit,Biscuits,India,63.6,41.82,100.0,63.45,https://world.openfoodfacts.org/product/8901063162914/marie-gold-biscuit-britannia
IN_8906010500245,8906010500245,Balaji Wafers,Balaji Wafers Masala Sev Murmura,Wafers,India,43.91,32.73,,70.0,https://world.openfoodfacts.org/product/8906010500245/balaji-wafers-masala-sev-murmura
IN_7622202225512,7622202225512,Cadbury,Original Oreo,"Filled biscuits, Des",India,38.22,23.64,,72.25,https://world.openfoodfacts.org/product/7622202225512/original-oreo-cadbury
IN_8901063092853,8901063092853,Britannia,Good Day cashew cookie,Biscuits,India,61.81,32.73,100.0,77.24,https://world.openfoodfacts.org/product/8901063092853/good-day-cashew-cookie-britannia
IN_8901719129988,8901719129988,Parle,Happy happy - Parl,"Biscuits, Happy happy biscuit",India,59.72,34.55,100.0,62.24,https://world.openfoodfacts.org/product/8901719129988/happy-happy-parl-parle
